,Rooms,Distance,Bedroom2,Bathroom,Car,Landsize,Lattitude,Longtitude,Suburb,Type,Method,SellerG,Date,CouncilArea,Regionname
0,2,2.5,2,1,1,126,-37.8014,144.9958,Abbotsford,h,SS,Jellis,3/9/2016,Yarra City Council,Northern Metropolitan
1,2,2.5,2,1,1,202,-37.7996,144.9984,Abbotsford,h,S,Biggin,3/12/2016,Yarra City Council,Northern Metropolitan
2,2,2.5,2,1,0,156,-37.8079,144.9934,Abbotsford,h,S,Biggin,4/2/2016,Yarra City Council,Northern Metropolitan
3,3,2.5,3,2,1,0,-37.8114,145.0116,Abbotsford,u,VB,Rounds,4/2/2016,Yarra City Council,Northern Metropolitan
4,3,2.5,3,2,0,134,-37.8093,144.9944,Abbotsford,h,SP,Biggin,4/3/2017,Yarra City Council,Northern Metropolitan
5,3,2.5,3,2,1,94,-37.7969,144.9969,Abbotsford,h,PI,Biggin,4/3/2017,Yarra City Council,Northern Metropolitan
6,4,2.5,3,1,2,120,-37.8072,144.9941,Abbotsford,h,VB,Nelson,4/6/2016,Yarra City Council,Northern Metropolitan
7,4,2.5,3,2,2,400,-37.7965,144.9965,Abbotsford,h,SN,Nelson,6/8/2016,Yarra City Council,Northern Metropolitan
8,2,2.5,4,1,2,201,-37.7995,144.9974,Abbotsford,h,S,Biggin,6/8/2016,Yarra City Council,Northern Metropolitan
9,2,2.5,3,2,1,202,-37.7996,144.9989,Abbotsford,h,S,Collins,6/8/2016,Yarra City Council,Northern Metropolitan
10,2,2.5,2,1,0,181,-37.8041,144.9953,Abbotsford,h,S,Jellis,7/5/2016,Yarra City Council,Northern Metropolitan
11,3,2.5,4,2,0,245,-37.8024,144.9993,Abbotsford,h,S,Nelson,7/5/2016,Yarra City Council,Northern Metropolitan
12,2,2.5,2,2,1,4292,-37.8078,144.9965,Abbotsford,u,PI,Biggin,7/11/2016,Yarra City Council,Northern Metropolitan
13,4,2.5,6,2,0,230,-37.8066,144.9936,Abbotsford,h,W,Biggin,7/11/2016,Yarra City Council,Northern Metropolitan
14,2,2.5,2,1,2,256,-37.806,144.9954,Abbotsford,h,S,Nelson,8/10/2016,Yarra City Council,Northern Metropolitan
15,3,2.5,3,2,2,521,-37.8076,145.0078,Abbotsford,h,S,Jellis,8/10/2016,Yarra City Council,Northern Metropolitan
16,2,2.5,3,2,2,521,-37.8076,145.0078,Abbotsford,t,S,Jellis,8/10/2016,Yarra City Council,Northern Metropolitan
17,1,2.5,1,1,1,0,-37.8008,144.9973,Abbotsford,u,S,Biggin,8/10/2016,Yarra City Council,Northern Metropolitan
