,Rooms,Distance,Bedroom2,Bathroom,Car,Landsize,Lattitude,Longtitude,Suburb,Type,Method,SellerG,Date,CouncilArea,Regionname,
0,-1.062988145,-1.279317819,-1.240788408,-1.092836077,-0.90235639,-0.160283164,0.107707299,-0.070222009,Abbotsford,h,SS,Jellis,3/9/2016,Yarra City Council,Northern Metropolitan,
1,-1.062988145,-1.279317819,-1.240788408,-1.092836077,-0.90235639,-0.132785469,0.130409109,-0.045590537,Abbotsford,h,S,Biggin,3/12/2016,Yarra City Council,Northern Metropolitan,
2,-1.062988145,-1.279317819,-1.240788408,-1.092836077,-2.034915682,-0.149428811,0.025728544,-0.092958752,Abbotsford,h,S,Biggin,4/2/2016,Yarra City Council,Northern Metropolitan,
3,-0.031974239,-1.279317819,-0.075392807,0.439156166,-0.90235639,-0.205871447,-0.018413863,0.079461552,Abbotsford,u,VB,Rounds,4/2/2016,Yarra City Council,Northern Metropolitan,
4,-0.031974239,-1.279317819,-0.075392807,0.439156166,-2.034915682,-0.15738867,0.008071581,-0.083485109,Abbotsford,h,SP,Biggin,4/3/2017,Yarra City Council,Northern Metropolitan,
5,-0.031974239,-1.279317819,-0.075392807,0.439156166,-0.90235639,-0.17186114,0.164461823,-0.059801002,Abbotsford,h,PI,Biggin,4/3/2017,Yarra City Council,Northern Metropolitan,
6,0.999039668,-1.279317819,-0.075392807,-1.092836077,0.230202903,-0.162454034,0.034557025,-0.086327202,Abbotsford,h,VB,Nelson,4/6/2016,Yarra City Council,Northern Metropolitan,
7,0.999039668,-1.279317819,-0.075392807,0.439156166,0.230202903,-0.061146739,0.169506669,-0.063590459,Abbotsford,h,SN,Nelson,6/8/2016,Yarra City Council,Northern Metropolitan,
8,-1.062988145,-1.279317819,1.090002794,-1.092836077,0.230202903,-0.133147281,0.13167032,-0.05506418,Abbotsford,h,S,Biggin,6/8/2016,Yarra City Council,Northern Metropolitan,
9,-1.062988145,-1.279317819,-0.075392807,0.439156166,-0.90235639,-0.132785469,0.130409109,-0.040853715,Abbotsford,h,S,Collins,6/8/2016,Yarra City Council,Northern Metropolitan,
10,-1.062988145,-1.279317819,-1.240788408,-1.092836077,-2.034915682,-0.140383516,0.073654585,-0.07495883,Abbotsford,h,S,Jellis,7/5/2016,Yarra City Council,Northern Metropolitan,
11,-0.031974239,-1.279317819,1.090002794,0.439156166,-2.034915682,-0.117227563,0.095095183,-0.037064258,Abbotsford,h,S,Nelson,7/5/2016,Yarra City Council,Northern Metropolitan,
12,-1.062988145,-1.279317819,-1.240788408,0.439156166,-0.90235639,1.347024665,0.026989755,-0.063590459,Abbotsford,u,PI,Biggin,7/11/2016,Yarra City Council,Northern Metropolitan,
13,0.999039668,-1.279317819,3.420793996,0.439156166,-2.034915682,-0.12265474,0.042124295,-0.091064024,Abbotsford,h,W,Biggin,7/11/2016,Yarra City Council,Northern Metropolitan,
14,-1.062988145,-1.279317819,-1.240788408,-1.092836077,0.230202903,-0.113247634,0.049691564,-0.074011466,Abbotsford,h,S,Nelson,8/10/2016,Yarra City Council,Northern Metropolitan,
