,Suburb,Rooms,Type,Method,SellerG,Date,Distance,Bedroom2,Bathroom,Car,Landsize,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname
31188,Glen Iris,2,u,S,Fletchers,10/2/2018,7.3,,,,,,Boroondara City Council,,,Southern Metropolitan
4777,Glenroy,3,h,S,Stockdale,8/10/2016,13,3,1,4,640,1950,Moreland City Council,-37.6986,144.9243,Northern Metropolitan
12155,Ascot Vale,3,h,S,Nelson,8/4/2017,5.9,3,1,1,450,1920,Moonee Valley City Council,-37.7756,144.9148,Western Metropolitan
23452,St Albans,4,h,S,YPA,26/8/2017,14,4,2,2,447,1996,Brimbank City Council,-37.75405,144.82014,Western Metropolitan
28887,Mill Park,4,h,S,Ray,25/11/2017,17.9,4,2,2,,1980,Whittlesea City Council,-37.6619,145.0681,Northern Metropolitan
11691,Ormond,2,h,S,Ray,8/10/2016,11.8,2,1,1,516,,Glen Eira City Council,-37.906,145.0497,Southern Metropolitan
30927,Wyndham Vale,3,h,S,LJ,9/12/2017,27.2,3,1,2,613,1980,Wyndham City Council,-37.89552,144.61926,Western Metropolitan
7055,Newport,3,h,SP,Williams,10/9/2016,8.4,3,1,1,307,,Hobsons Bay City Council,-37.8389,144.8779,Western Metropolitan
30272,Dingley Village,2,u,S,Buxton,9/12/2017,22.2,,,,,,Kingston City Council,,,South-Eastern Metropolitan
20134,Mulgrave,3,h,S,Ray,3/9/2017,18.8,3,2,1,,2011,Monash City Council,-37.93365,145.19273,South-Eastern Metropolitan
14943,Eaglemont,2,u,PI,Nelson,3/6/2017,8.9,2,1,1,112,1960,Banyule City Council,-37.76689,145.05206,Eastern Metropolitan
24,Abbotsford,3,h,VB,Nelson,12/11/2016,2.5,3,2,2,214,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan
30209,Cheltenham,4,h,PI,Buxton,9/12/2017,17.9,4,2,2,700,1964,Bayside City Council,-37.96841,145.07175,Southern Metropolitan
15879,Pascoe Vale,3,h,S,Nelson,17/6/2017,8.5,3,2,4,689,1950,Moreland City Council,-37.73072,144.94829,Northern Metropolitan
31398,Mount Waverley,4,t,SP,Ray,20/1/2018,14.2,,,,,,Monash City Council,,,Eastern Metropolitan
5829,Kensington,4,h,S,Edward,22/8/2016,4.2,4,2,1,242,,Melbourne City Council,-37.7913,144.9275,Northern Metropolitan
16746,Brunswick West,5,h,S,Brad,27/5/2017,5.2,5,1,1,441,1940,Moreland City Council,-37.77242,144.94458,Northern Metropolitan
28553,Coburg,3,h,PI,Barry,25/11/2017,6.7,,,,,,Darebin City Council,,,Northern Metropolitan
13061,Ivanhoe East,5,h,PI,Jellis,13/5/2017,9,5,3,2,737,2008,Banyule City Council,-37.7794,145.0647,Eastern Metropolitan
292,Altona North,3,h,S,FN,4/6/2016,11.1,3,1,2,534,1967,Hobsons Bay City Council,-37.8284,144.8355,Western Metropolitan
19074,Moonee Ponds,1,u,S,Brad,22/7/2017,6.2,1,1,1,0,2015,Moonee Valley City Council,-37.77149,144.91552,Western Metropolitan
31372,Viewbank,3,u,S,Jellis,10/2/2018,8.9,,,,,,Banyule City Council,,,Eastern Metropolitan
25257,Northcote,3,h,S,Jellis,21/10/2017,5.3,3,2,3,400,,Darebin City Council,-37.77892,145.01235,Northern Metropolitan
15581,Doncaster East,4,h,S,Barry,17/6/2017,14.3,,,,,,Manningham City Council,,,Eastern Metropolitan
10793,Windsor,2,h,S,Jellis,19/11/2016,5.1,2,1,2,0,1928,Port Phillip City Council,-37.8518,144.9868,Southern Metropolitan
13617,Richmond,2,u,S,Biggin,29/4/2017,2.6,2,2,1,3512,2011,Yarra City Council,-37.8183,144.9979,Northern Metropolitan
14201,Yallambie,3,h,S,Darren,29/4/2017,15,3,2,2,552,,Banyule City Council,-37.7285,145.0851,Northern Metropolitan
27440,Wyndham Vale,4,h,S,LJ,11/11/2017,27.2,,,,,,Wyndham City Council,,,Western Metropolitan
6543,Maribyrnong,3,h,S,Nelson,8/10/2016,8.7,,,,,,Maribyrnong City Council,,,Western Metropolitan
26273,Northcote,4,h,S,Jellis,28/10/2017,5.3,4,3,2,375,2017,Darebin City Council,-37.77004,145.0093,Northern Metropolitan
16048,Armadale,5,h,S,Marshall,24/6/2017,6.3,,,,,,Stonnington City Council,,,Southern Metropolitan
21525,South Morang,4,h,S,Millership,16/9/2017,20.5,4,2,2,,,Whittlesea City Council,-37.63634,145.09135,Northern Metropolitan
